,index,Region/Country/Area,"Population, density and surface area",Year,Series,Value,Footnotes,Source
1473,1474,84,Belize,2015,Sex ratio (males per 100 females),101.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1474,1475,84,Belize,2015,Population aged 0 to 14 years old (percentage),31.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1475,1476,84,Belize,2015,Population aged 60+ years old (percentage),6.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1476,1477,84,Belize,2015,Population density,15.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1477,1478,84,Belize,2021,Population mid-year estimates (millions),0.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1478,1479,84,Belize,2021,Population mid-year estimates for males (millions),0.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1479,1480,84,Belize,2021,Population mid-year estimates for females (millions),0.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1480,1481,84,Belize,2021,Sex ratio (males per 100 females),101.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1481,1482,84,Belize,2021,Population aged 0 to 14 years old (percentage),28.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1482,1483,84,Belize,2021,Population aged 60+ years old (percentage),7.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1483,1484,84,Belize,2021,Population density,17.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1484,1485,84,Belize,2021,Surface area (thousand km2),23,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
1485,1486,84,Belize,2022,Population mid-year estimates (millions),0.41,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1486,1487,84,Belize,2022,Population mid-year estimates for males (millions),0.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1487,1488,84,Belize,2022,Population mid-year estimates for females (millions),0.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1488,1489,84,Belize,2022,Sex ratio (males per 100 females),101.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1489,1490,84,Belize,2022,Population aged 0 to 14 years old (percentage),27.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1490,1491,84,Belize,2022,Population aged 60+ years old (percentage),8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1491,1492,84,Belize,2022,Population density,17.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1492,1493,204,Benin,2010,Population mid-year estimates (millions),9.45,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1493,1494,204,Benin,2010,Population mid-year estimates for males (millions),4.71,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1494,1495,204,Benin,2010,Population mid-year estimates for females (millions),4.74,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1495,1496,204,Benin,2010,Sex ratio (males per 100 females),99.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1496,1497,204,Benin,2010,Population aged 0 to 14 years old (percentage),43.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1497,1498,204,Benin,2010,Population aged 60+ years old (percentage),4.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1498,1499,204,Benin,2010,Population density,83.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1499,1500,204,Benin,2015,Population mid-year estimates (millions),10.93,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1500,1501,204,Benin,2015,Population mid-year estimates for males (millions),5.46,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
